time,open,high,low,close,tick_volume
2025-01-03 04:00:00,1.02673,1.02745,1.02667,1.02722,990
2025-01-03 05:00:00,1.02722,1.02743,1.02686,1.02707,794
2025-01-03 06:00:00,1.02707,1.02708,1.0267,1.02695,607
2025-01-03 07:00:00,1.02696,1.02734,1.02645,1.02716,883
2025-01-03 08:00:00,1.02716,1.02791,1.02715,1.0279,800
2025-01-03 09:00:00,1.02787,1.02846,1.02686,1.02807,2389
2025-01-03 10:00:00,1.02807,1.02879,1.02727,1.02803,2225
2025-01-03 11:00:00,1.02802,1.02998,1.02802,1.02901,2070
2025-01-03 12:00:00,1.02901,1.02936,1.02791,1.02811,1650
2025-01-03 13:00:00,1.02816,1.03028,1.02812,1.02972,1646
2025-01-03 14:00:00,1.02972,1.03008,1.02943,1.02956,1765
2025-01-03 15:00:00,1.02957,1.03,1.02913,1.02931,2016
2025-01-03 16:00:00,1.02931,1.03024,1.02879,1.02991,2245
2025-01-03 17:00:00,1.02927,1.03057,1.02728,1.0289,3495
2025-01-03 18:00:00,1.02887,1.02997,1.02835,1.02906,2168
2025-01-03 19:00:00,1.02908,1.03057,1.02907,1.02979,2082
2025-01-03 20:00:00,1.02978,1.0302,1.02925,1.02972,1426
2025-01-03 21:00:00,1.02969,1.03059,1.02937,1.03012,1246
2025-01-03 22:00:00,1.03009,1.03073,1.02987,1.03057,1237
2025-01-03 23:00:00,1.03056,1.03098,1.03046,1.03078,637
2025-01-06 00:00:00,1.03018,1.03067,1.0297,1.03014,283
2025-01-06 01:00:00,1.0301,1.03079,1.0301,1.03051,728
2025-01-06 02:00:00,1.03051,1.03053,1.02955,1.03028,1283
2025-01-06 03:00:00,1.03028,1.03134,1.03012,1.03121,1433
2025-01-06 04:00:00,1.03121,1.03175,1.03107,1.0316,1214
2025-01-06 05:00:00,1.03159,1.03181,1.0313,1.03163,922
2025-01-06 06:00:00,1.03163,1.03174,1.03128,1.03151,674
2025-01-06 07:00:00,1.03152,1.0318,1.03084,1.03088,1036
2025-01-06 08:00:00,1.03088,1.03164,1.03076,1.03125,1134
2025-01-06 09:00:00,1.03126,1.03283,1.03099,1.03274,1601
2025-01-06 10:00:00,1.03274,1.03524,1.03266,1.03501,2606
2025-01-06 11:00:00,1.03501,1.03687,1.03401,1.03555,3062
2025-01-06 12:00:00,1.03556,1.03577,1.03351,1.03351,1953
2025-01-06 13:00:00,1.0335,1.04321,1.03288,1.04215,4597
2025-01-06 14:00:00,1.04216,1.04304,1.0392,1.04108,3308
2025-01-06 15:00:00,1.04114,1.04365,1.04044,1.04168,3670
2025-01-06 16:00:00,1.04169,1.04237,1.0352999999999999,1.03924,4569
2025-01-06 17:00:00,1.03924,1.03987,1.03713,1.03932,4212
2025-01-06 18:00:00,1.03941,1.04025,1.03852,1.03968,2897
2025-01-06 19:00:00,1.03968,1.03968,1.03792,1.03872,1995
2025-01-06 20:00:00,1.03872,1.03891,1.0377,1.03818,1904
2025-01-06 21:00:00,1.03819,1.03916,1.03788,1.03881,1708
2025-01-06 22:00:00,1.03882,1.03918,1.03857,1.03878,1292
2025-01-06 23:00:00,1.0388,1.03922,1.03852,1.0386,690
2025-01-07 00:00:00,1.03864,1.03913,1.03763,1.03885,500
2025-01-07 01:00:00,1.03878,1.039,1.03815,1.03831,522
2025-01-07 02:00:00,1.03831,1.03853,1.03771,1.03842,1207
2025-01-07 03:00:00,1.03837,1.03847,1.03761,1.03812,1454
2025-01-07 04:00:00,1.03808,1.03829,1.03808,1.03817,70
2025-01-07 07:00:00,1.03911,1.04031,1.03911,1.03966,1090
2025-01-07 08:00:00,1.03966,1.0404,1.03963,1.03973,1286
2025-01-07 09:00:00,1.03977,1.04242,1.03977,1.04145,2388
2025-01-07 10:00:00,1.04146,1.04223,1.04031,1.04218,2486
2025-01-07 11:00:00,1.04276,1.0429599999999999,1.04241,1.04267,146
2025-01-07 12:00:00,1.04264,1.04343,1.04166,1.04279,2218
2025-01-07 13:00:00,1.04278,1.04283,1.0405,1.04132,1968
2025-01-07 14:00:00,1.04133,1.04168,1.03871,1.03892,2399
2025-01-07 15:00:00,1.03892,1.0405,1.03864,1.03966,2476
2025-01-07 16:00:00,1.03963,1.03975,1.03892,1.03917,2621
2025-01-07 17:00:00,1.03909,1.03909,1.0355,1.03722,4322
2025-01-07 18:00:00,1.03726,1.03812,1.03626,1.03681,3532
2025-01-07 19:00:00,1.03681,1.03737,1.03539,1.03667,2810
2025-01-07 20:00:00,1.03667,1.03693,1.03495,1.03543,2317
2025-01-07 21:00:00,1.03537,1.03596,1.03521,1.03552,1706
2025-01-07 22:00:00,1.03548,1.03561,1.0344,1.03443,1407
2025-01-07 23:00:00,1.03438,1.03441,1.0336400000000001,1.0336400000000001,552
2025-01-08 00:00:00,1.03371,1.03419,1.03371,1.03416,351
2025-01-08 01:00:00,1.03409,1.03449,1.03389,1.03415,651
2025-01-08 02:00:00,1.03415,1.03492,1.03415,1.03466,1166
2025-01-08 03:00:00,1.03466,1.03529,1.03453,1.03526,1222
2025-01-08 04:00:00,1.03528,1.0354700000000001,1.03512,1.0354,854
