time,open,high,low,close,tick_volume
2025-01-03 03:00:00,1.02729,1.02729,1.0267,1.02683,543
2025-01-03 03:30:00,1.02682,1.02701,1.02664,1.02674,481
2025-01-03 04:00:00,1.02673,1.02717,1.02667,1.02713,533
2025-01-03 04:30:00,1.02716,1.02745,1.0270299999999999,1.02722,457
2025-01-03 05:00:00,1.02722,1.02743,1.02705,1.02735,431
2025-01-03 05:30:00,1.02735,1.02739,1.02686,1.02707,363
2025-01-03 06:00:00,1.02707,1.02708,1.0267,1.02688,309
2025-01-03 06:30:00,1.02688,1.02697,1.02673,1.02695,298
2025-01-03 07:00:00,1.02696,1.02718,1.02645,1.02716,430
2025-01-03 07:30:00,1.02715,1.02734,1.02697,1.02716,453
2025-01-03 08:00:00,1.02716,1.02747,1.02715,1.02737,388
2025-01-03 08:30:00,1.02737,1.02791,1.02722,1.0279,412
2025-01-03 09:00:00,1.02787,1.02825,1.02686,1.0278,1371
2025-01-03 09:30:00,1.0278,1.02846,1.02778,1.02807,1018
2025-01-03 10:00:00,1.02807,1.02879,1.0278100000000001,1.02809,1241
2025-01-03 10:30:00,1.02809,1.02859,1.02727,1.02803,984
2025-01-03 11:00:00,1.02802,1.02991,1.02802,1.02961,1146
2025-01-03 11:30:00,1.02962,1.02998,1.02875,1.02901,924
2025-01-03 12:00:00,1.02901,1.02936,1.02799,1.02836,928
2025-01-03 12:30:00,1.02836,1.02858,1.02791,1.02811,722
2025-01-03 13:00:00,1.02816,1.02989,1.02812,1.02978,853
2025-01-03 13:30:00,1.02978,1.03028,1.02919,1.02972,793
2025-01-03 14:00:00,1.02972,1.03008,1.02943,1.02961,869
2025-01-03 14:30:00,1.02957,1.03008,1.02952,1.02956,896
2025-01-03 15:00:00,1.02957,1.03,1.02914,1.02938,947
2025-01-03 15:30:00,1.02939,1.02999,1.02913,1.02931,1069
2025-01-03 16:00:00,1.02931,1.02946,1.02879,1.0291,1071
2025-01-03 16:30:00,1.02919,1.03024,1.02893,1.02991,1174
2025-01-03 17:00:00,1.02927,1.03057,1.02733,1.0275,1980
2025-01-03 17:30:00,1.02755,1.0289,1.02728,1.0289,1515
2025-01-03 18:00:00,1.02887,1.02959,1.0286,1.02954,1195
2025-01-03 18:30:00,1.02957,1.02997,1.02835,1.02906,973
2025-01-03 19:00:00,1.02908,1.03044,1.02907,1.03021,1064
2025-01-03 19:30:00,1.03022,1.03057,1.02973,1.02979,1018
2025-01-03 20:00:00,1.02978,1.03013,1.02925,1.03013,785
2025-01-03 20:30:00,1.03011,1.0302,1.02936,1.02972,641
2025-01-03 21:00:00,1.02969,1.03044,1.02937,1.03037,633
2025-01-03 21:30:00,1.03037,1.03059,1.02984,1.03012,613
2025-01-03 22:00:00,1.03009,1.03073,1.02987,1.0303,668
2025-01-03 22:30:00,1.03028,1.0307,1.03009,1.03057,569
2025-01-03 23:00:00,1.03056,1.03098,1.03046,1.03077,354
2025-01-03 23:30:00,1.03077,1.03089,1.03055,1.03078,283
2025-01-06 00:00:00,1.03018,1.03065,1.02998,1.03054,128
2025-01-06 00:30:00,1.03056,1.03067,1.0297,1.03014,155
2025-01-06 01:00:00,1.0301,1.03064,1.0301,1.03054,306
2025-01-06 01:30:00,1.0305,1.03079,1.03034,1.03051,422
2025-01-06 02:00:00,1.03051,1.03053,1.02957,1.02971,648
2025-01-06 02:30:00,1.02974,1.03045,1.02955,1.03028,635
2025-01-06 03:00:00,1.03028,1.03112,1.03012,1.03069,664
2025-01-06 03:30:00,1.03069,1.03134,1.03051,1.03121,769
2025-01-06 04:00:00,1.03121,1.03175,1.03107,1.03132,694
