time,open,high,low,close,tick_volume,spread,real_volume
2024-11-05 20:00:00,2741.99,2743.88,2739.34,2741.23,3873,14,0
2024-11-05 21:00:00,2741.23,2742.28,2739.53,2740.47,3066,14,0
2024-11-05 22:00:00,2740.36,2743.51,2739.65,2743.03,2569,14,0
2024-11-05 23:00:00,2743.14,2744.96,2742.57,2743.72,1363,14,0
2024-11-06 01:00:00,2743.32,2746.42,2741.99,2745.71,2049,5,0
2024-11-06 02:00:00,2745.7,2745.72,2735.34,2737.99,4791,5,0
2024-11-06 03:00:00,2738.51,2749.69,2732.64,2747.09,6145,14,0
2024-11-06 04:00:00,2746.88,2748.39,2736.71,2737.49,6230,13,0
2024-11-06 05:00:00,2737.52,2743.5,2730.69,2734.12,6070,5,0
2024-11-06 06:00:00,2734.12,2742.96,2733.39,2741.82,5128,5,0
2024-11-06 07:00:00,2741.99,2743.65,2736.4,2739.05,5688,12,0
2024-11-06 08:00:00,2738.79,2739.33,2701.5,2706.84,6380,7,0
2024-11-06 09:00:00,2707.01,2733.16,2704.19,2725.89,6029,5,0
2024-11-06 10:00:00,2725.56,2733.67,2722.82,2724.51,5732,9,0
2024-11-06 11:00:00,2724.48,2728.5,2716.45,2724.65,4988,7,0
2024-11-06 12:00:00,2724.53,2727.12,2718.7,2720.25,4487,5,0
2024-11-06 13:00:00,2720.22,2722.72,2696.27,2699.39,5316,5,0
2024-11-06 14:00:00,2698.46,2707.99,2693.44,2695.14,5605,5,0
2024-11-06 15:00:00,2694.81,2694.81,2659.14,2664.12,6742,5,0
2024-11-06 16:00:00,2663.89,2670.36,2652.44,2659.81,6588,5,0
2024-11-06 17:00:00,2659.83,2675.89,2657.47,2675.77,6507,5,0
2024-11-06 18:00:00,2675.93,2678.18,2662.95,2666.19,5775,7,0
2024-11-06 19:00:00,2666.2,2669.23,2661.54,2663.24,4952,9,0
2024-11-06 20:00:00,2663.35,2669.57,2662.83,2665.57,4851,5,0
2024-11-06 21:00:00,2665.63,2668.47,2664.96,2667.02,4313,14,0
