time,open,high,low,close,tick_volume,spread,real_volume
2025-05-21 01:00:00,3289.94,3304.16,3289.94,3296.05,1941,9,0
2025-05-21 01:30:00,3296.05,3298.15,3292.87,3296.84,1525,13,0
2025-05-21 02:00:00,3296.84,3296.84,3289.19,3292.11,1523,16,0
2025-05-21 02:30:00,3292.09,3292.99,3288.59,3290.59,1505,17,0
2025-05-21 03:00:00,3290.63,3297.16,3288.97,3295.76,2075,5,0
2025-05-21 03:30:00,3295.77,3304.2,3295.77,3303.46,2269,9,0
2025-05-21 04:00:00,3303.46,3314.48,3285.56,3289.41,2902,12,0
2025-05-21 04:30:00,3289.12,3299.3,3286.65,3294.6,2519,16,0
2025-05-21 05:00:00,3294.57,3298.26,3289.35,3294.55,2371,17,0
2025-05-21 05:30:00,3294.69,3305.09,3293.56,3301.76,2410,15,0
2025-05-21 06:00:00,3301.77,3308.15,3299.22,3307.81,2166,16,0
2025-05-21 06:30:00,3307.93,3309.64,3305.69,3307.6,1894,16,0
2025-05-21 07:00:00,3307.51,3308.28,3302.62,3304.13,1757,5,0
2025-05-21 07:30:00,3304.14,3306.41,3301.21,3302.11,1725,17,0
2025-05-21 08:00:00,3302.12,3302.83,3298.47,3302.62,1844,17,0
2025-05-21 08:30:00,3302.71,3319.56,3300.47,3316.46,2569,5,0
2025-05-21 09:00:00,3316.16,3318.72,3310.82,3318.69,2434,6,0
2025-05-21 09:30:00,3318.69,3320.67,3315.24,3320.02,2428,12,0
2025-05-21 10:00:00,3319.57,3319.6,3308.33,3312.62,2451,5,0
2025-05-21 10:30:00,3312.64,3315.32,3307.86,3309.78,2180,10,0
2025-05-21 11:00:00,3310.22,3310.98,3303.98,3307.06,2269,8,0
2025-05-21 11:30:00,3307.09,3312.26,3305.59,3308.48,2131,9,0
2025-05-21 12:00:00,3308.54,3312.05,3307.17,3310.76,2110,15,0
2025-05-21 12:30:00,3310.82,3313.51,3307.19,3313.5,2185,7,0
2025-05-21 13:00:00,3313.7,3317.72,3310.72,3316.36,2137,9,0
2025-05-21 13:30:00,3316.37,3318.23,3308.62,3311.75,2235,16,0
2025-05-21 14:00:00,3311.77,3316.41,3308.63,3312.56,2172,10,0
2025-05-21 14:30:00,3312.65,3313.04,3306.55,3311.19,2309,5,0
2025-05-21 15:00:00,3311.21,3312.65,3290.95,3295.86,2688,8,0
2025-05-21 15:30:00,3296.01,3303.98,3291.1,3302.52,2704,9,0
2025-05-21 16:00:00,3302.71,3307.42,3299.91,3304.4,2653,15,0
2025-05-21 16:30:00,3304.69,3309.57,3295.46,3303.66,2813,15,0
2025-05-21 17:00:00,3303.62,3307.46,3295.43,3306.23,2726,16,0
2025-05-21 17:30:00,3306.29,3307.68,3301.76,3304.36,2495,16,0
2025-05-21 18:00:00,3304.51,3315.17,3303.58,3311.7,2630,5,0
2025-05-21 18:30:00,3311.71,3313.77,3309.01,3311.97,2223,17,0
2025-05-21 19:00:00,3311.95,3314.63,3309.49,3309.97,2185,17,0
2025-05-21 19:30:00,3309.9,3310.68,3302.75,3303.08,2193,15,0
2025-05-21 20:00:00,3303.1,3315.45,3302.78,3310.89,2420,15,0
2025-05-21 20:30:00,3311.07,3316.35,3306.88,3316.33,2446,7,0
2025-05-21 21:00:00,3316.36,3316.46,3312.02,3313.92,2206,7,0
2025-05-21 21:30:00,3313.96,3316.18,3312.25,3314.33,1933,12,0
2025-05-21 22:00:00,3314.34,3324.84,3314.34,3324.63,2333,7,0
2025-05-21 22:30:00,3324.62,3324.72,3317.1,3318.34,2290,8,0
2025-05-21 23:00:00,3318.49,3319.84,3313.21,3317.47,1377,17,0
2025-05-21 23:30:00,3317.47,3317.89,3313.64,3315.11,1118,5,0
2025-05-22 01:00:00,3316.05,3321.02,3315.65,3319.52,1366,9,0
2025-05-22 01:30:00,3319.53,3319.63,3315.63,3317.94,1235,18,0
2025-05-22 02:00:00,3317.92,3323.61,3317.92,3322.6,1424,17,0
2025-05-22 02:30:00,3322.57,3324.13,3317.33,3320.02,1563,15,0
2025-05-22 03:00:00,3320.32,3326.24,3319.41,3320.38,2061,8,0
2025-05-22 03:30:00,3320.57,3325.59,3319.79,3323.77,1930,17,0
2025-05-22 04:00:00,3323.77,3339.09,3320.5,3338.38,2622,6,0
2025-05-22 04:30:00,3338.46,3342.84,3336.37,3338.03,2584,13,0
2025-05-22 05:00:00,3338.13,3341.23,3336.57,3337.3,2167,14,0
2025-05-22 05:30:00,3337.35,3344.68,3337.08,3341.11,2244,16,0
2025-05-22 06:00:00,3341.14,3345.31,3338.54,3340.23,2133,15,0
2025-05-22 06:30:00,3340.21,3340.77,3334.9,3335.43,1884,15,0
2025-05-22 07:00:00,3335.41,3337.19,3332.78,3336.9,1665,17,0
2025-05-22 07:30:00,3336.89,3339.12,3334.99,3338.56,1653,5,0
2025-05-22 08:00:00,3338.56,3339.41,3336.09,3337.78,1510,11,0
2025-05-22 08:30:00,3337.78,3339.11,3326.33,3332.34,2322,9,0
2025-05-22 09:00:00,3332.34,3335.5,3327.63,3331.76,2273,14,0
2025-05-22 09:30:00,3331.7,3333.32,3325.68,3326.46,2280,13,0
2025-05-22 10:00:00,3326.5,3331.22,3322.61,3329.83,2324,7,0
2025-05-22 10:30:00,3329.77,3330.64,3325.9,3327.54,2346,8,0
2025-05-22 11:00:00,3327.5,3329.91,3317.82,3318.64,2568,11,0
2025-05-22 11:30:00,3318.64,3318.64,3310.27,3311.35,2551,15,0
2025-05-22 12:00:00,3311.25,3313.79,3304.47,3306.57,2497,5,0
2025-05-22 12:30:00,3306.68,3309.83,3304.22,3304.79,2114,17,0
2025-05-22 13:00:00,3304.64,3307.46,3298.68,3299.38,2318,16,0
2025-05-22 13:30:00,3299.03,3300.44,3288.5,3289.71,2613,8,0
2025-05-22 14:00:00,3289.35,3296.81,3283.15,3294.88,2651,5,0
2025-05-22 14:30:00,3294.78,3314.71,3291.48,3314.56,2646,9,0
2025-05-22 15:00:00,3314.35,3314.52,3305.64,3310.72,2720,14,0
2025-05-22 15:30:00,3310.7,3311.5,3300.94,3304.04,2694,12,0
2025-05-22 16:00:00,3304.16,3315.72,3304.16,3311.14,2742,7,0
2025-05-22 16:30:00,3311.14,3313.26,3286.94,3287.9,2946,9,0
2025-05-22 17:00:00,3287.7,3298.63,3279.37,3297.58,2735,8,0
2025-05-22 17:30:00,3297.55,3304.47,3295.44,3296.96,2718,9,0
2025-05-22 18:00:00,3297.15,3298.77,3281.49,3294.4,2823,8,0
2025-05-22 18:30:00,3294.42,3295.7,3288.65,3294.75,2443,12,0
2025-05-22 19:00:00,3294.86,3299.79,3291.13,3299.7,2372,17,0
2025-05-22 19:30:00,3299.72,3304.8,3298.29,3301.54,2260,15,0
2025-05-22 20:00:00,3301.56,3301.76,3293.21,3295.76,2320,16,0
2025-05-22 20:30:00,3295.79,3298.79,3290.32,3296.63,2173,15,0
2025-05-22 21:00:00,3296.78,3298.86,3292.93,3294.83,2151,13,0
2025-05-22 21:30:00,3294.34,3296.02,3292.37,3293.82,1972,13,0
2025-05-22 22:00:00,3294.02,3297.07,3289.09,3290.2,1912,15,0
2025-05-22 22:30:00,3290.02,3294.24,3289.47,3290.32,2052,16,0
2025-05-22 23:00:00,3290.32,3293.49,3289.61,3293.03,1134,8,0
2025-05-22 23:30:00,3293.05,3295.53,3292.57,3294.71,1039,14,0
