time,open,high,low,close,tick_volume
2024-12-31 13:30:00,2610.18,2611.97,2609.96,2611.08,1483
2024-12-31 14:00:00,2611.0,2611.99,2609.38,2610.74,1598
2024-12-31 14:30:00,2610.71,2612.81,2609.68,2611.14,1625
2024-12-31 15:00:00,2611.12,2615.03,2605.33,2613.78,2264
2024-12-31 15:30:00,2613.8,2616.13,2611.29,2613.32,2225
2024-12-31 16:00:00,2613.33,2614.19,2611.34,2612.09,1884
2024-12-31 16:30:00,2612.16,2617.73,2611.78,2613.69,2680
2024-12-31 17:00:00,2613.72,2619.58,2612.45,2618.15,2517
2024-12-31 17:30:00,2618.14,2626.65,2617.52,2625.84,2674
2024-12-31 18:00:00,2625.65,2626.71,2622.26,2623.65,2465
2024-12-31 18:30:00,2623.73,2627.21,2623.34,2625.31,2030
2024-12-31 19:00:00,2625.44,2627.58,2624.48,2625.52,1662
2024-12-31 19:30:00,2625.44,2625.45,2623.23,2624.38,1761
2024-12-31 20:00:00,2624.29,2627.22,2622.73,2626.04,1775
2024-12-31 20:30:00,2626.1,2626.92,2624.81,2624.81,1449
2024-12-31 21:00:00,2624.65,2627.19,2624.56,2625.01,1382
2024-12-31 21:30:00,2624.91,2625.08,2622.87,2623.85,1363
2024-12-31 22:00:00,2623.84,2625.05,2622.88,2623.2,1256
2024-12-31 22:30:00,2623.17,2624.02,2622.22,2623.36,1533
2024-12-31 23:00:00,2623.17,2624.28,2622.92,2624.04,338
2024-12-31 23:30:00,2624.03,2624.94,2623.77,2624.43,293
2025-01-02 01:00:00,2624.48,2625.29,2623.51,2623.74,933
2025-01-02 01:30:00,2623.71,2624.33,2621.48,2623.74,617
2025-01-02 02:00:00,2623.78,2626.49,2622.82,2626.4,1118
2025-01-02 02:30:00,2626.38,2627.8,2625.3,2625.33,1408
2025-01-02 03:00:00,2625.35,2633.01,2623.8,2632.59,2434
2025-01-02 03:30:00,2632.55,2634.35,2631.62,2632.9,2038
2025-01-02 04:00:00,2632.92,2636.37,2632.58,2635.63,1585
2025-01-02 04:30:00,2635.7,2635.76,2632.31,2634.72,1869
2025-01-02 05:00:00,2634.7,2635.32,2632.99,2633.37,1881
2025-01-02 05:30:00,2633.35,2634.14,2632.3,2633.66,1290
2025-01-02 06:00:00,2633.68,2633.71,2632.11,2632.48,904
2025-01-02 06:30:00,2632.47,2634.2,2631.1,2633.96,1050
2025-01-02 07:00:00,2633.99,2635.31,2633.06,2634.9,1179
2025-01-02 07:30:00,2634.85,2636.5,2634.01,2634.03,1847
2025-01-02 08:00:00,2634.03,2634.45,2631.15,2634.18,1707
2025-01-02 08:30:00,2634.17,2635.43,2633.41,2634.06,1650
2025-01-02 09:00:00,2634.14,2636.0,2633.47,2634.37,1517
2025-01-02 09:30:00,2634.38,2636.0,2632.96,2635.97,1536
2025-01-02 10:00:00,2636.24,2637.13,2631.25,2633.32,2094
2025-01-02 10:30:00,2633.32,2637.84,2631.22,2636.37,1608
2025-01-02 11:00:00,2636.43,2639.97,2636.36,2637.4,1910
2025-01-02 11:30:00,2637.41,2638.37,2636.03,2636.09,1553
2025-01-02 12:00:00,2636.09,2646.37,2632.76,2644.86,2351
2025-01-02 12:30:00,2644.92,2645.61,2640.54,2642.74,2195
2025-01-02 13:00:00,2642.74,2644.69,2640.64,2641.82,1716
2025-01-02 13:30:00,2641.9,2642.81,2640.33,2642.01,1593
2025-01-02 14:00:00,2641.99,2643.2,2640.39,2642.77,1706
2025-01-02 14:30:00,2642.75,2646.45,2642.18,2643.39,2202
2025-01-02 15:00:00,2643.34,2643.36,2636.02,2640.6,2750
2025-01-02 15:30:00,2640.12,2647.38,2637.03,2642.99,2823
2025-01-02 16:00:00,2643.01,2649.09,2640.37,2646.32,2647
2025-01-02 16:30:00,2646.7,2651.06,2646.35,2647.73,2730
2025-01-02 17:00:00,2647.43,2649.6,2645.2,2648.79,2795
2025-01-02 17:30:00,2648.53,2655.78,2648.44,2654.1,2857
