time,open,high,low,close,tick_volume,spread,real_volume
2024-11-08 01:00:00,2705.81,2706.37,2704.14,2706.0,953,5,0
2024-11-08 01:30:00,2706.06,2708.08,2705.44,2706.94,1035,5,0
2024-11-08 02:00:00,2706.93,2710.35,2706.93,2709.06,1257,5,0
2024-11-08 02:30:00,2709.09,2710.02,2705.58,2706.27,1535,14,0
2024-11-08 03:00:00,2706.33,2707.54,2699.54,2701.57,2770,8,0
2024-11-08 03:30:00,2701.64,2702.85,2699.19,2699.85,2593,14,0
2024-11-08 04:00:00,2699.87,2700.07,2695.13,2699.71,2292,5,0
2024-11-08 04:30:00,2699.6,2701.03,2695.99,2697.55,2533,14,0
2024-11-08 05:00:00,2697.45,2700.51,2695.44,2695.51,2310,14,0
2024-11-08 05:30:00,2695.52,2696.76,2694.1,2695.17,1654,14,0
2024-11-08 06:00:00,2695.11,2696.11,2693.77,2693.88,1527,14,0
2024-11-08 06:30:00,2693.92,2696.0,2693.28,2693.58,1321,7,0
2024-11-08 07:00:00,2693.58,2696.22,2693.58,2695.72,1630,12,0
2024-11-08 07:30:00,2695.88,2696.3,2694.04,2695.12,2206,14,0
2024-11-08 08:00:00,2695.12,2695.7,2686.82,2687.05,2703,5,0
2024-11-08 08:30:00,2687.1,2689.18,2686.03,2686.39,2268,14,0
2024-11-08 09:00:00,2686.14,2686.14,2680.35,2683.28,2290,5,0
2024-11-08 09:30:00,2683.36,2687.77,2681.93,2687.39,2114,5,0
2024-11-08 10:00:00,2687.42,2688.72,2681.94,2687.84,2984,5,0
2024-11-08 10:30:00,2687.84,2691.78,2685.49,2688.72,2618,14,0
2024-11-08 11:00:00,2688.6,2690.95,2687.22,2689.33,2382,14,0
2024-11-08 11:30:00,2689.09,2690.0,2687.15,2689.23,2194,5,0
2024-11-08 12:00:00,2689.3,2689.3,2682.02,2685.27,2264,7,0
2024-11-08 12:30:00,2685.28,2688.77,2684.73,2688.54,2075,13,0
2024-11-08 13:00:00,2688.69,2689.45,2686.78,2688.89,1968,5,0
2024-11-08 13:30:00,2688.92,2694.92,2688.52,2691.86,2107,12,0
2024-11-08 14:00:00,2691.86,2692.08,2686.25,2688.52,2261,5,0
2024-11-08 14:30:00,2688.55,2693.1,2688.46,2691.94,2253,14,0
2024-11-08 15:00:00,2691.55,2695.57,2687.92,2695.14,3004,5,0
2024-11-08 15:30:00,2695.25,2701.04,2690.58,2697.57,2984,5,0
2024-11-08 16:00:00,2697.69,2704.1,2695.87,2696.59,2983,5,0
2024-11-08 16:30:00,2696.78,2699.81,2687.85,2691.54,3076,8,0
2024-11-08 17:00:00,2690.07,2692.33,2683.46,2690.15,3183,5,0
2024-11-08 17:30:00,2689.97,2692.87,2685.99,2687.53,2908,5,0
2024-11-08 18:00:00,2687.47,2687.55,2684.74,2687.15,2676,6,0
2024-11-08 18:30:00,2687.22,2689.22,2682.98,2683.28,2384,5,0
2024-11-08 19:00:00,2683.43,2688.44,2683.43,2686.41,2292,7,0
2024-11-08 19:30:00,2686.39,2688.47,2685.41,2687.89,2056,5,0
2024-11-08 20:00:00,2687.89,2688.75,2686.51,2686.6,2054,5,0
2024-11-08 20:30:00,2686.69,2687.12,2683.83,2684.91,1757,14,0
2024-11-08 21:00:00,2685.12,2685.56,2683.26,2683.86,1682,13,0
2024-11-08 21:30:00,2683.86,2687.53,2683.82,2687.09,1578,14,0
2024-11-08 22:00:00,2686.96,2688.56,2685.83,2688.08,1651,14,0
2024-11-08 22:30:00,2688.2,2688.35,2684.91,2685.02,1549,14,0
2024-11-08 23:00:00,2685.06,2685.88,2682.74,2683.36,721,14,0
2024-11-08 23:30:00,2683.35,2684.67,2683.18,2684.15,597,7,0
2024-11-11 01:00:00,2682.96,2684.87,2678.87,2683.1,1549,7,0
2024-11-11 01:30:00,2683.06,2685.68,2682.33,2685.68,979,14,0
2024-11-11 02:00:00,2685.62,2686.22,2682.56,2683.46,1319,14,0
2024-11-11 02:30:00,2683.47,2685.32,2683.4,2683.98,1211,14,0
2024-11-11 03:00:00,2683.91,2684.8,2672.69,2675.69,2979,5,0
2024-11-11 03:30:00,2675.69,2678.38,2671.89,2672.99,2630,14,0
2024-11-11 04:00:00,2673.02,2675.12,2671.38,2673.19,2141,5,0
2024-11-11 04:30:00,2673.25,2673.25,2666.43,2671.99,2490,14,0
2024-11-11 05:00:00,2671.74,2671.98,2668.09,2668.67,1899,7,0
2024-11-11 05:30:00,2668.67,2671.7,2668.03,2670.3,1457,14,0
2024-11-11 06:00:00,2670.19,2670.91,2669.54,2670.54,1584,12,0
2024-11-11 06:30:00,2670.59,2672.35,2668.86,2672.14,1802,14,0
2024-11-11 07:00:00,2672.19,2674.26,2667.04,2669.29,1889,5,0
2024-11-11 07:30:00,2669.07,2671.43,2667.24,2669.24,2223,10,0
2024-11-11 08:00:00,2669.22,2674.05,2668.48,2672.66,2169,13,0
2024-11-11 08:30:00,2672.56,2673.71,2671.58,2673.21,1906,14,0
2024-11-11 09:00:00,2673.27,2674.03,2669.38,2672.36,2142,5,0
2024-11-11 09:30:00,2672.35,2672.65,2668.83,2669.57,2261,14,0
2024-11-11 10:00:00,2669.37,2671.75,2668.27,2670.13,2311,6,0
2024-11-11 10:30:00,2670.13,2670.73,2667.6,2669.52,2325,5,0
2024-11-11 11:00:00,2669.51,2670.85,2664.4,2665.5,2465,7,0
2024-11-11 11:30:00,2665.56,2667.89,2663.85,2666.85,2192,5,0
2024-11-11 12:00:00,2666.84,2675.33,2666.55,2670.48,2379,5,0
2024-11-11 12:30:00,2670.34,2671.13,2660.95,2661.91,2164,12,0
2024-11-11 13:00:00,2661.86,2666.29,2658.97,2665.99,2276,5,0
2024-11-11 13:30:00,2665.96,2666.99,2662.23,2662.6,2206,14,0
2024-11-11 14:00:00,2662.62,2663.19,2659.01,2660.77,2390,10,0
2024-11-11 14:30:00,2660.77,2662.41,2656.68,2657.24,2257,14,0
2024-11-11 15:00:00,2657.1,2657.53,2651.39,2651.39,2911,8,0
2024-11-11 15:30:00,2651.35,2652.79,2634.33,2635.49,3181,9,0
2024-11-11 16:00:00,2635.54,2635.63,2627.32,2628.28,3023,5,0
2024-11-11 16:30:00,2628.34,2628.34,2617.71,2622.48,3280,5,0
2024-11-11 17:00:00,2623.04,2626.28,2618.65,2620.17,2932,6,0
2024-11-11 17:30:00,2620.06,2620.12,2613.45,2614.55,2910,10,0
2024-11-11 18:00:00,2614.54,2616.97,2612.55,2615.28,2745,14,0
2024-11-11 18:30:00,2615.27,2618.05,2614.03,2614.91,2275,5,0
2024-11-11 19:00:00,2615.16,2616.96,2611.52,2611.86,2190,13,0
2024-11-11 19:30:00,2611.76,2615.75,2611.66,2612.56,1902,5,0
2024-11-11 20:00:00,2612.54,2613.38,2610.59,2611.33,1950,14,0
2024-11-11 20:30:00,2611.38,2619.21,2611.17,2618.96,1874,14,0
2024-11-11 21:00:00,2618.93,2620.6,2617.82,2618.93,1552,6,0
