time,open,high,low,close,tick_volume,spread,real_volume
2025-05-21 01:00:00,3289.94,3304.16,3289.94,3296.84,3466,9,0
2025-05-21 02:00:00,3296.84,3296.84,3288.59,3290.59,3028,16,0
2025-05-21 03:00:00,3290.63,3304.2,3288.97,3303.46,4344,5,0
2025-05-21 04:00:00,3303.46,3314.48,3285.56,3294.6,5421,12,0
2025-05-21 05:00:00,3294.57,3305.09,3289.35,3301.76,4781,15,0
2025-05-21 06:00:00,3301.77,3309.64,3299.22,3307.6,4060,16,0
2025-05-21 07:00:00,3307.51,3308.28,3301.21,3302.11,3482,5,0
2025-05-21 08:00:00,3302.12,3319.56,3298.47,3316.46,4413,5,0
2025-05-21 09:00:00,3316.16,3320.67,3310.82,3320.02,4862,6,0
2025-05-21 10:00:00,3319.57,3319.6,3307.86,3309.78,4631,5,0
2025-05-21 11:00:00,3310.22,3312.26,3303.98,3308.48,4400,8,0
2025-05-21 12:00:00,3308.54,3313.51,3307.17,3313.5,4295,7,0
2025-05-21 13:00:00,3313.7,3318.23,3308.62,3311.75,4372,9,0
2025-05-21 14:00:00,3311.77,3316.41,3306.55,3311.19,4481,5,0
2025-05-21 15:00:00,3311.21,3312.65,3290.95,3302.52,5392,8,0
2025-05-21 16:00:00,3302.71,3309.57,3295.46,3303.66,5466,15,0
2025-05-21 17:00:00,3303.62,3307.68,3295.43,3304.36,5221,16,0
2025-05-21 18:00:00,3304.51,3315.17,3303.58,3311.97,4853,5,0
2025-05-21 19:00:00,3311.95,3314.63,3302.75,3303.08,4378,15,0
2025-05-21 20:00:00,3303.1,3316.35,3302.78,3316.33,4866,7,0
2025-05-21 21:00:00,3316.36,3316.46,3312.02,3314.33,4139,7,0
2025-05-21 22:00:00,3314.34,3324.84,3314.34,3318.34,4623,7,0
2025-05-21 23:00:00,3318.49,3319.84,3313.21,3315.11,2495,5,0
2025-05-22 01:00:00,3316.05,3321.02,3315.63,3317.94,2601,9,0
2025-05-22 02:00:00,3317.92,3324.13,3317.33,3320.02,2987,15,0
2025-05-22 03:00:00,3320.32,3326.24,3319.41,3323.77,3991,8,0
2025-05-22 04:00:00,3323.77,3342.84,3320.5,3338.03,5206,6,0
2025-05-22 05:00:00,3338.13,3344.68,3336.57,3341.11,4411,14,0
2025-05-22 06:00:00,3341.14,3345.31,3334.9,3335.43,4017,15,0
2025-05-22 07:00:00,3335.41,3339.12,3332.78,3338.56,3318,5,0
2025-05-22 08:00:00,3338.56,3339.41,3326.33,3332.34,3832,9,0
2025-05-22 09:00:00,3332.34,3335.5,3325.68,3326.46,4553,13,0
2025-05-22 10:00:00,3326.5,3331.22,3322.61,3327.54,4670,7,0
2025-05-22 11:00:00,3327.5,3329.91,3310.27,3311.35,5119,11,0
2025-05-22 12:00:00,3311.25,3313.79,3304.22,3304.79,4611,5,0
2025-05-22 13:00:00,3304.64,3307.46,3288.5,3289.71,4931,8,0
2025-05-22 14:00:00,3289.35,3314.71,3283.15,3314.56,5297,5,0
2025-05-22 15:00:00,3314.35,3314.52,3300.94,3304.04,5414,12,0
2025-05-22 16:00:00,3304.16,3315.72,3286.94,3287.9,5688,7,0
2025-05-22 17:00:00,3287.7,3304.47,3279.37,3296.96,5453,8,0
2025-05-22 18:00:00,3297.15,3298.77,3281.49,3294.75,5266,8,0
2025-05-22 19:00:00,3294.86,3304.8,3291.13,3301.54,4632,15,0
2025-05-22 20:00:00,3301.56,3301.76,3290.32,3296.63,4493,15,0
2025-05-22 21:00:00,3296.78,3298.86,3292.37,3293.82,4123,13,0
2025-05-22 22:00:00,3294.02,3297.07,3289.09,3290.32,3964,15,0
2025-05-22 23:00:00,3290.32,3295.53,3289.61,3294.71,2173,8,0
